title,agency,date
Tulare County Man Indicted for Falsely Marketing Herbal Mixtures as FDA-Approved Treatment for COVID-19,"U.S. Attorney's Office, Eastern District of California",
Durable medical equipment company owner admits participation in kickback scheme: Defendant is one of 26 charged in telemedicine fraud in Southern District,"U.S. Attorney's Office, Southern District of Georgia",
"Rutledge Announces a Guilty Plea by the CEO and Owner of New Beginnings Behavioral Health Services: Says, 'This culture of corruption has run rampant through our Medicaid system and it must be stopped'",Arkansas Attorney General,
27 Skilled Nursing Facilities Controlled by Longwood Management Corp. to Pay $16.7 Million to Resolve Allegations of Inflated Medicare Bills,"U.S. Attorney's Office, Central District of California",
Rutledge Announces Convictions of Conway and West Memphis Men by the Medicaid Fraud Control Unit,Arkansas Attorney General,
Attorney General Becerra Announces $1 Million Settlement Against Nursing Facility for Medi-Cal Fraud:     Public Encouraged to Report Elder Abuse and Medi-Cal Fraud to BMFEA's Hotline (800) 722 0432 or www.oag.ca.gov,California Attorney General,
Universal Health Services to Pay Massachusetts More than $15 Million to Resolve Whistleblower False Claims Cases,Massachusetts Attorney General,
Attorney General Josh Stein Reaches $117 Million Settlement with Universal Health Services,North Carolina Attorney General,
"Associated Pain Specialists, P.C. Of Knoxville Enters Into Settlement Resolving False Claims Act Allegations","U.S. Attorney's Office, Eastern District of Tennessee",
Florida Man Charged with COVID Relief Fraud and Health Care Fraud,U.S. Department of Justice,
"Physician Assistant to Pay $25,000 to Resolve Allegations of Receiving Kickbacks from Pharmaceutical Company","U.S. Attorney's Office, Eastern District of Pennsylvania",
"Universal Health Services, Inc. And Related Entities To Pay $122 Million To Settle False Claims Act Allegations Relating To Medically Unnecessary Inpatient Behavioral Health Services And Illegal Kickbacks","U.S. Attorney's Office, Middle District of Florida",
Former CEO Of Tennessee Pain Management Company Sentenced For Role In Multi-Million Dollar Medicare Kickback Scheme,"U.S. Attorney's Office, Middle District of Tennessee",
Four Men Indicted for Their Roles in $35 Million Pharmacy Compounded Medication Scheme,"U.S. Attorney's Office, District of New Jersey",
Two Pennsylvania-Based Doctors and Five Others Charged in Genetic Testing Kickback and Bribery Schemes,"U.S. Attorney's Office, District of New Jersey",
Telemedicine company owner pleads guilty to telemedicine fraud conspiracy: Defendant is one of 26 charged in largest fraud operation ever prosecuted by Southern District of Georgia,"U.S. Attorney's Office, Southern District of Georgia",
Former CEO Of Tennessee Pain Management Company Sentenced For Role In Approximately $4 Million Medicare Kickback Scheme,U.S. Department of Justice,
Hope Hospice Agrees To Pay $3.2 Million To Settle False Claims Act Liability,"U.S. Attorney's Office, Middle District of Florida",
"Oklahoma City Hospital, Management Company, and Physician Group to Pay $72.3 Million to Settle Federal and State False Claims Act Allegations Arising from Improper Payments to Referring Physicians","U.S. Attorney's Office, Western District of Oklahoma",
Government Reaches One Million Dollar Settlement In Healthcare Fraud Matter,"U.S. Attorney's Office, District of Puerto Rico",
Certified Nursing Assistant Arrested for Exploitation of a Disabled Adult,Florida Attorney General,
Newton Transportation Company Resolves Claims of Improperly Billing MassHealth for Wheelchair Van Rides: Provider Used Uber and Lyft to Transport Patients; Will be Permanently Barred from Participating in MassHealth,Massachusetts Attorney General,
Novartis Pays Over $642 Million to Settle Allegations of Improper Payments to Patients and Physicians,Department of Justice,
Houston-area cardiologist settles allegations,"U.S. Attorney's Office, Southern District of Texas",
"California Genetic Testing Company Agrees To Pay $8.25 Million To Resolve False Claims Allegations; Paducah, Ky, Area Hospital Also Settles","U.S. Attorney's Office, Western District of Kentucky",
Seattle Doctor Charged with Covid Relief Fraud,"U.S. Attorney's Office, Western District of Washington",
Guam Ambulance Company Owners Sentenced to Prison for Their Roles in Medicare Ambulance Fraud Scheme,Department of Justice,
University of Virginia Agrees to Settle Claims Associated with Federal Grants,"U.S. Attorney's Office, Eastern District of Virginia",
Eleventh Circuit Court Of Appeals Upholds Convictions Of Doctor On Twenty Counts Of Healthcare Fraud,"U.S. Attorney's Office, Middle District of Florida",
Sarasota-Based Ophthalmic Consultants Agrees To Pay $4.8 Million To Resolve Claims Of Multi-Dosing Patients,"U.S. Attorney's Office, Middle District of Florida",
Katy anesthesiologist pays to settle allegations arising from electro-acupuncture device billing,"U.S. Attorney's Office, Southern District of Texas",
Beckley Woman Who Faked Death to Avoid Sentencing Will Serve 42 Months in Federal Prison for Health Care Fraud,"U.S. Attorney's Office, Southern District of West Virginia",
Opioid Manufacturer Indivior's Chief Executive Officer Pleads Guilty in Connection with Drug Safety Claims,"U.S. Attorney's Office, Western District of Virginia",
"Baxley pharmacist sentenced to four years in federal prison for conspiracy involving healthcare fraud, opioids","U.S. Attorney's Office, Southern District of Georgia",
Greenville Ambulance Company Manager Sentenced to Prison in Multimillion Dollar Fraud and Identity Theft Scheme,"U.S. Attorney's Office, Eastern District of North Carolina",
Atlanta hospital system to pay $16 million to resolve false claims allegations,"U.S. Attorney's Office, Northern District of Georgia",
Two Defendants Sentenced in Multi-Million Dollar Health Care Fraud Conspiracy,"U.S. Attorney's Office, Western District of Pennsylvania",
Ophthalmologist Previously Charged With Healthcare Fraud Indicted For Defrauding SBA Program Intended To Help Small Businesses During COVID-19 Pandemic,"U.S. Attorney's Office, Southern District of New York",
Three Individuals Indicted & Arrested For Health Care Fraud,"U.S. Attorney's Office, District of Puerto Rico",
Augusta University Medical Center agrees to pay $2.625 million to settle False Claims Act investigation,"U.S. Attorney's Office, Southern District of Georgia",
Owner and Operator of Tennessee Drug Screening Lab Plead Guilty to Health Care Fraud,"U.S. Attorney's Office, Western District of Virginia",
"Home and Community-Based Services Business Owner Arrested for Defrauding Medicaid Out of More Than $200,000",Florida Attorney General,
Lawrence Man Indicted on Identity Fraud Charges,"U.S. Attorney's Office, District of Massachusetts",
Attorney General Ford Announces Sentencing of Former Co-Owners of Reno-Based Medicaid Provider Lifetime Assistance LLC,Nevada Attorney General,
Dominican National Pleads Guilty to False Identity Crimes,"U.S. Attorney's Office, District of Massachusetts",
"Former Tribal Chair Sentenced for Embezzlement Scheme; Defendants Prosecuted as Part of The Guardians Project, a Federal Law Enforcement Initiative to Combat Corruption, Fraud, and Abuse in South Dakota","U.S. Attorney's Office, District of South Dakota",
Attorney General Ford Announces Sentencing of Las Vegas Medicaid Provider Brandy Latoya Williams,Nevada Attorney General,
Attorney General Ford Announces Sentencing of Las Vegas Medicaid Provider Brandy Latoya Williams,Nevada Attorney General,
"AG Shapiro and 45th Statewide Grand Jury: Lancaster Doctor Charged With Unlawful Prescribing, Medicaid Fraud",Pennsylvania Attorney General,
Greensburg Medical Lab Owner Pleads Guilty in $1.6M Fraud Scheme,"U.S. Attorney's Office, Western District of Pennsylvania",
Nine Pharmacists Charged for Role in $12.1 Million Health Care Fraud Scheme,Department of Justice,
"Last of six sentenced in scheme to defraud Medicaid of millions; Jennifer Sheridan of Braking Point Recovery Center sentenced to 27 months imprisonment and ordered to pay $15,957,148 in restitution","U.S. Attorney's Office, Northern District of Ohio",
Registered Nurse Pleads Guilty to Drug Diversion Charge,"U.S. Attorney's Office, District of Massachusetts",
Attorney General Ford Announces Sentencing of Former Medicaid Provider Business Owner Darryl John Allen,Nevada Attorney General,
Former DEA Official Pleads Guilty to Elaborate $4 Million Fraud Scheme; Former Spokesman (2005-2009) Scammed Victims by Posing Falsely as Covert CIA Officer Involved in a Highly-classified Intelligence Program,Department of Justice,
Nineteen Individuals Indicted In $41 Million Illegal Opioid Distribution Conspiracy,"U.S. Attorney's Office, Eastern District of Michigan",
Florida man charged in telemedicine scheme; Defendant is 26th charged in telemedicine conspiracy in Southern District,"U.S. Attorney's Office, Southern District of Georgia",
Portland Home Healthcare Company and Owner Settle False Claims Act Allegations,"U.S. Attorney's Office, District of Maine",
Pharmacist Indicted for Presenting Forged Prescriptions for Opioid and Anti-Malaria Prescription,"U.S. Attorney's Office, Eastern District of Missouri",
Medical Technology Company President Charged in Scheme to Defraud Investors and Health Care Benefit Programs in Connection with COVID-19 Testing,Department of Justice,
"Wallingford Doctor Arrested for Selling Opioid Prescriptions for Cash, Health Care Fraud","U.S. Attorney's Office, District of Connecticut",
Four Florida Men Charged for Their Roles in a $54 Million Compound Pharmacy Kickback Scheme,Department of Justice,
Alaska Neurology Center LLC and Its Owner to Pay $2 Million to Settle False Claims Act Allegations Regarding Fraudulent Medical Billing,"U.S. Attorney's Office, District of Alaska",
Illinois Man Admits Role in $4.6 Million Health Care Fraud Related to Genetic Testing,"U.S. Attorney's Office, District of New Jersey",
"Sioux Center Chiropractic Clinic to Pay $30,418 to Resolve Allegations Related to Claims Submitted to Medicaid for Treatment of Children for Constipation and Ear Infections","U.S. Attorney's Office, Northern District of Iowa",
Camden County Man Admits Role in Theft of Government Funds Scheme and Defrauding Supplemental Nutrition Assistance Program,"U.S. Attorney's Office, District of New Jersey",
Owners of Texas and Mississippi Laboratories Admit Roles in Kickback Scheme Related to Genetic Testing,"U.S. Attorney's Office, District of New Jersey",
"Meds2Go Express Pharmacy, Inc. Sentenced for Role in Drug Diversion Scheme; Pharmacy Shut Down and Ordered to Pay $250,000 in Community Restitution and Forfeiture","U.S. Attorney's Office, Southern District of West Virginia",
Eagle Woman Sentenced to 37 Months for Health Care Fraud,"U.S. Attorney's Office, District of Idaho",
Woman Sentenced to Prison for $500K Health Care Fraud Scheme,"U.S. Attorney's Office, Eastern District of Virginia",
Las Vegas Couple Indicted in $13 Million Fraud Upon North Carolina Medicaid Program and Scheme to Launder Proceeds Into Private Jet,"U.S. Attorney's Office, Eastern District of North Carolina",
Pinellas County Resident Arrested for Medicaid Provider Fraud,Florida Office of the Attorney General,
Pennsylvania Man Sentenced to 37 Months in Prison and Over $3 Million in Restitution for Health Care Fraud Scheme,"U.S. Attorney's Office, Eastern District of Pennsylvania",
Encino Man Sentenced to 9 Years in Prison for Leading Conspiracy to Distribute Opioids via Sham Clinics and Corrupt Doctors,"U.S. Attorney's Office, Central District of California",
Mangum Pharmacist Sentenced to More Than Three Years in Federal Prison in Health Care Fraud Case; He Was Ordered to Pay Over $1 Million to Medicare and Medicaid,"U.S. Attorney's Office, Western District of Oklahoma",
Caregiver Arrested for Neglect of an Elderly Adult,Florida Office of the Attorney General,
Dominican National Sentenced for Identity Theft and Stealing MassHealth Benefits,"U.S. Attorney's Office, District of Massachusetts",
"Premier Medical Associates Agree To Pay $750,000 To Resolve Claims Of False Billing","U.S. Attorney's Office, Middle District of Florida",
"Franklin, Tennessee-Based Rinova Settles Allegations Of Fraudulent Operations Of Former Pain MD Clinics Settlement More Than $480,000","U.S. Attorney's Office, Middle District of Tennessee",
Toledo couple indicted for fraudulent medical care scheme,"U.S. Attorney's Office, Northern District of Ohio",
"United States Joins False Claims Act Lawsuit against William M. Kelly, M.D. Inc. and Omega Imaging Inc.",Department of Justice,
Georgia Woman Arrested for Role in Scheme to Defraud Health Care Benefit Programs Related to Cancer Genetic Testing and COVID-19 Testing,Department of Justice,
United States Attorney's Office Honors Law Enforcement Personnel for Exceptional Service,"U.S. Attorney's Office, District of Massachusetts",
"Former Cleveland Clinic Employee and Chinese ""Thousand Talents"" Participant Arrested for Wire Fraud",Department of Justice,
Missouri City physician pays nearly half a million to resolve illegal kickback and fraud allegations,"U.S. Attorney's Office, Southern District of Texas",
Court Awards Millions for Texans in Medicaid Fraud Lawsuit,Attorney General of Texas,
Durable medical equipment company owner charged in kickback scheme; Defendant is 25th charged in telemedicine conspiracy,"U.S. Attorney's Office, Southern District of Georgia",
"Former Contractor Sentenced to 24 Months in Federal Prison for Embezzlement Scheme; Defendant Prosecuted as Part of The Guardians Project, a Federal Law Enforcement Initiative to Combat Corruption, Fraud, and Abuse in South Dakota","U.S. Attorney's Office, District of South Dakota",
AG Shapiro: We Are Investigating Pennsylvania Nursing Homes For Criminal Neglect,Pennsylvania Office of Attorney General,
"Former Emory University Professor and Chinese ""Thousand Talents"" Participant Convicted and Sentenced for Filing a False Tax Return",Department of Justice,
Jackson Woman Sentenced to 10 Months for Soliciting Kickbacks and Obstructing Justice,"U.S. Attorney's Office, Eastern District of Kentucky",
Dominican National Pleads Guilty to False Identity Crimes,"U.S. Attorney's Office, District of Massachusetts",
"DOJ Settles False Claims Act Allegations With Seattle Physician, His Pain Clinics, and His Drug-testing Lab; Agrees To Pay $2.85 Million To Settle Allegations His Clinics Ordered Medically Unnecessary Tests","U.S. Attorney's Office, Western District of Washington",
Texas man admits role in nearly $5 million health care fraud scheme,"U.S. Attorney's Office, Southern District of Texas",
Connecticut Announces Joint State-Federal COVID-19 Fraud Task Force,Office of the Attorney General of Connecticut,
Florida Man Admits Role in $4.6 Million Health Care Fraud and Kickback Schemes Related to Genetic Testing,"U.S. Attorney's Office, District of New Jersey",
"Former Tribal Treasurer & Former Councilmember Sentenced to 42 and 30 Months for Embezzlement Scheme As Part of The Guardians Project, a Federal Law Enforcement Initiative in South Dakota","U.S. Attorney's Office, District of South Dakota",
Rogers Physician Pleads Guilty To Distribution Of A Controlled Substance Without An Effective Prescription,"U.S. Attorney's Office, Western District of Arkansas",
Connecticut Substance Abuse Treatment Provider Pays $295K to Settle Improper Billing Allegations,"U.S. Attorney's Office, District of Connecticut",
"Lexington Foot and Ankle Center Agrees to Pay $750,000 to Resolve Allegations of Violations of the False Claims Act","U.S. Attorney's Office, Eastern District of Kentucky",
Doctor Pleads Guilty to Opioid Conspiracy and Health Care Fraud,"U.S. Attorney's Office, Eastern District of Virginia",
Pasco County Resident Arrested for Identity Theft and Exploitation of an Elderly Person or Disabled Adult,Florida Office of the Attorney General,
Milwaukee Pain Management Clinic and Physician Agree to Pay At Least $1.35 Million to Resolve Allegations They Violated the False Claims Act and Anti-Kickback Statute,"U.S. Attorney's Office, Eastern District of Wisconsin",
Owner Of Treatment Facility Pleads Guilty To Health Care Fraud,"U.S. Attorney's Office, Middle District of Florida",
Owensboro Doctor Faces Federal Civil False Claims Allegations,"U.S. Attorney's Office, Western District of Kentucky",
"Medical Companies Agree to Pay Florida Medicaid More Than $500,000 to Settle False Claim Act Allegations",Florida Office of the Attorney General,
Attorney General Josh Stein Announces $8.8 Million Medicaid Fraud Settlement with Dunn Physician,North Carolina Department of Justice,
Former Caregiver Pleads Guilty to Obstructing Investigation Related to Violation of Disabled Resident's Civil Rights,Department of Justice,
"Attorney Agrees to Plead Guilty to a String of Crimes, Including Paying Bribes to Two Federal Law Enforcement Officials","U.S. Attorney's Office, Central District of California",
Macomb County Doctor Charged In Health Care Fraud Scheme,"U.S. Attorney's Office, Eastern District of Michigan",
Testing Laboratory Agrees to Pay Up to $43 Million to Resolve Allegations of Medically Unnecessary Tests,Department of Justice,
Harvard University Agrees to Pay Over $1.3 Million to Resolve Allegations of Overcharging NIH Grants,"U.S. Attorney's Office, District of Massachusetts",
"Dominican National Sentenced for Health Care Fraud, Misuse of a Social Security Number, ID Theft","U.S. Attorney's Office, District of Rhode Island",
"Surgeon Agrees to Pay $1.75 Million to Resolve Allegations that He Accepted Kickbacks fromSpineFrontier, Sixth Doctor Settles Claims Related to Sham Consulting Program","U.S. Attorney's Office, District of Massachusetts",
Florida Man Sentenced to Over 15 Months in Prison and $3.4 Million in Restitution for Health Care Fraud Scheme Involving Liberation Way Drug and Alcohol Rehabilitation Centers,"U.S. Attorney's Office, Eastern District of Pennsylvania",
"Avon-based Home Health Company to Pay $450,000 to Resolve Allegations of False Medicaid Billing",Massachusetts Office of Attorney General,
Ambulance Provider Agrees to Settle False Claims Act Allegations,"U.S. Attorney's Office, Eastern District of Virginia",
Telemedicine company owner charged in $60 million fraud scheme; Defendant is 23rd charged in largest fraud operation ever prosecuted by Southern District of Georgia,"U.S. Attorney's Office, Southern District of Georgia",
"Centra Health Inc. and Blue Ridge Ear, Nose, Throat, and Plastic Surgery, Inc. Agree to Pay Nearly $10 Million to Settle False Claims Act Allegations","U.S. Attorney's Office, Western District of Virginia",
"Psychiatrist Affiliated with Philadelphia and Lehigh Valley-Area Health Clinics Who Claimed to Have Seen Over 120 Patients per Day Agrees to Pay $91,109 to Resolve False Claims Act Liability","U.S. Attorney's Office, Eastern District of Pennsylvania",
Tech company pays $1.7 million in restitution for defrauding hospital electronic records programs,"U.S. Attorney's Office, Southern District of Ohio",
"Maryland Cardiologist and Related Practices to Pay the United States $750,000 for Alleged Kickbacks",Department of Justice,
"North Country Man Sentenced for Health Care Fraud, Paying Kickbacks","U.S. Attorney's Office, Northern District of New York",
"Dominican National Sentenced for Identity Theft and Stealing MassHealth Benefits, Defendant collected unemployment benefits in the identity of a United States citizen","U.S. Attorney's Office, District of Massachusetts",
Operator of durable medical equipment company charged in multi-million-dollar telemedicine kickback scheme,"U.S. Attorney's Office, Southern District of Georgia",
"Baltimore Internist to Pay $436,000 to the United States to Resolve False Claims Act Allegations Relating to Medically Unnecessary Procedures","U.S. Attorney's Office, District of Maryland",
"Florida-Based Laboratory, Pain Clinic, and Two Former Executives Agree to Pay $41 Million to Resolve Allegations of Unnecessary Drug Testing","U.S. Attorney's Office, Eastern District of Pennsylvania",
Nursing Home Chain Saber Healthcare Agrees to Pay $10 Million to Settle False Claims Act Allegations,Department of Justice,
U.S. Attorney Nicholas Trutanich And Attorney General Aaron Ford Form Nevada COVID-19 Task Force,"U.S. Attorney's Office, District of Nevada",
Maury Regional Medical Center To Pay More Than $1.7 Million To Settle False Claims Act Allegations,"U.S. Attorney's Office, Middle District of Tennessee",
State's New Medicaid Fraud Unit Prosecutes First Case,North Dakota Attorney General's Office,
Contract Rehab Provider to Pay $4 Million to Resolve False Claims Act Allegations Relating to the Provision of Medically Unnecessary Rehabilitation Therapy Services,Department of Justice,
New Jersey Chiropractor Agrees to Pay $2 Million to Resolve Allegations of Unnecessary Knee Injections and Knee Braces and Related Kickbacks,Department of Justice,
Wisconsin Physician Agrees to Pay Financial Penalties to Resolve Allegations That He Prescribed Opioids Illegally and Violated False Claims Act,"U.S. Attorney's Office, Eastern District of Wisconsin",
"Physician Assistant Agrees to Pay $620, 500 for Allegedly Engaging in Illegal Kickback Scheme","U.S. Attorney's Office, Northern District of Oklahoma",
New Britain Optician Group Pays More Than $263K to Resolve False Claims Allegations,"U.S. Attorney's Office, District of Connecticut",
Former Medical Employees Plead Guilty to Prescription Fraud Scheme,"U.S. Attorney's Office, Eastern District of Virginia",
Georgia Man Arrested for Orchestrating Scheme to Defraud Health Care Benefit Programs Related to COVID-19 and Genetic Cancer Testing,"U.S. Attorney's Office, District of New Jersey",
Ex-Blackfeet Tribal leader sentenced to prison for Head Start program fraud,"U.S. Attorney's Office, District of Montana",
"Progressions Behavioral Health Services, Inc. and One of its Former Mental Health Therapists Agree to Pay $27,500 to Resolve Potential False Claims Act Liability","U.S. Attorney's Office, Eastern District of Pennsylvania",
"Manhattan U.S. Attorney Files Civil Fraud Suit Against Anthem, Inc., For Falsely Certifying The Accuracy Of Its Diagnosis Data","U.S. Attorney's Office, Southern District of New York",
"CEO, CFO, President, and Owner of Sober Homes Network ""Serenity Ranch Recovery"" Convicted in $38 Million Fraud Scheme after Six-Week Trial","U.S. Attorney's Office, Southern District of Florida",
"Doctor Who Pleaded Guilty to Health Care Fraud for ""Goodie Bags"" Agrees to Resolve Civil Fraud and Controlled Substance Liability for $2.8 Million","U.S. Attorney's Office, Eastern District of Pennsylvania",
Villages Dermatologist Agrees To Pay More Than $1.7 Million To Settle False Claims Act Liability For Inflated Medicare Claims,"U.S. Attorney's Office, Middle District of Florida>",
Federal Jury finds Defendants Guilty of Submitting False Claims to Medicare under Civil False Claims Act. Jury verdict results in recovery of more than $10.85 million to the Medicare program,"U.S. Attorney's Office, Southern District of Mississippi",
"Pittsburgh Resident Pleads Guilty to Conspiracy, Health Care Fraud and Aggravated Identity Theft","U.S. Attorney's Office, Western District of Pennsylvania",
Southwestern PA Family Practitioner Charged in 161-Count Superseding Indictment with Dispensing Drugs in Exchange for Sex and Health Care Fraud,"U.S. Attorney's Office, Western District of Pennsylvania",
"""Compound King"" Convicted in $21 Million Health Care Fraud Scheme",Department of Justice,
Atlanta man sentenced in multi-state health care fraud conspiracy,"U.S. Attorney's Office, Northern District of Georgia",
Physicians group pays over $1M to resolve false billing claims,"U.S. Attorney's Office, Southern District of Texas",
Owner of Detroit-Area Health Care Clinic Sentenced to Prison for a Drug Diversion Scheme,Department of Justice,
Eighteen South Jersey Residents Charged With Trafficking Prescription Drugs,"U.S. Attorney's Office, District of New Jersey",
"Central Florida Woman Arrested for Fraudulently Billing More Than $49,000 to Medicaid",Florida Office of the Attorney General,
Houston Nurse Guilty in East Texas Health Care Kickback Scheme,"U.S. Attorney's Office, Eastern District of Texas",
"Marietta doctor convicted of illegally distributing opioid pain meds, health care fraud","U.S. Attorney's Office, Southern District of Ohio",
DOJ Files Suit against Spine Device Manufacturer and Executives Alleging Kickbacks to Surgeons through Sham Consulting Payments,Department of Justice,
Southern California Man Accused of Health Care Fraud,"U.S. Attorney's Office, District of Oregon",
Carr Announces Guilty Pleas in Three Medicaid Fraud Cases,State of Georgia Office of the Attorney General,
Lecanto Medical Biller Sentenced In Large Healthcare Fraud Scheme,"U.S. Attorney's Office, Middle District of Florida",
Hospice to pay $1.75 million to resolve false claims act allegations,"U.S. Attorney's Office, Northern District of Georgia",
Georgia Medicaid Provider and Senior Executives Agree to Pay $1.75 Million to Resolve False Claims Allegations,USAO Northern District of Georgia and Georgia State Attorney General,
Three Delaware County Residents Charged in $320k Medicaid Fraud Scheme,"U.S. Attorney's Office, Eastern District of Pennsylvania",
United States Files False Claims Act Complaint Against Drug Maker Mallinckrodt. Complaint alleges that company avoided paying hundreds of millions of dollars in Medicaid rebates due to significant drug price increases,"U.S. Attorney's Office, District of Massachusetts",
Two Connecticut Physicians Pay over $4.9 Million to Settle False Claims Act Allegations,"U.S. Attorney's Office, District of Connecticut",
Connecticut Announces $4.9 Million State/Federal False Claims Settlement with Middletown Doctor Couple,State of Connecticut Attorney General,
Former Adult Day Care Activity Center Owner in San Antonio Pleads Guilty to Health Care Fraud Scheme and Theft of Social Security Benefits,"U.S. Attorney's Office, Western District of Texas",
Diversicare Health Services Inc. Agrees to Pay $9.5 Million to Resolve False Claims Act Allegations Relating to the Provision of Medically Unnecessary Rehabilitation Therapy Services,Department of Justice,
Sanofi Agrees to Pay $11.85 Million to Resolve Allegations That it Paid Kickbacks Through a Co-Pay Assistance Foundation,"U.S. Attorney's Office, District of Massachusetts",
Woman Sentenced for Cocaine Conspiracy and Multiple Fraud Schemes,"U.S. Attorney's Office, Eastern District of Virginia",
"Diversicare Health Services, Inc. Agrees To Pay $9.5 Million To Resolve False Claims Act Allegations","U.S. Attorney's Office, Middle District of Tennessee",
Queens Pharmacy Owner Found Guilty of Health Care Fraud and Money Laundering Charges for Role in Billing Scheme,"United States Attorney, Eastern District of New York",
"Kansas Clinic Agrees to Pay $775,000 To Resolve False Claims Act Allegations","U.S. Attorney's Office, District of Kansas",
Five Defendants Sentenced in South Florida to Prison Terms for Their Roles in Tricare and Medicare Fraud Scheme,"U.S. Attorney's Office, Southern District of Florida",
Physician Charged for Alleged Role in an Over $120 Million Health Care Fraud and Money Laundering Conspiracy Involving Sponsorship of Ultimate Fighting Championship Hall of Famers,Department of Justice,
"Two Los Angeles Pharmacy Owners Sentenced for Multimillion-Dollar Scheme that Billed Medicare, Cigna $11.8 Million in Fraudulent Medication Claims",Department of Justice,
Georgia woman pleads guilty to social security fraud,"U.S. Attorney's Office, Northern District of Georgia",
Urologist Sentenced to Nearly Six Years in Prison for Fraudulent Billings of Nonexistent Patient Visits and Unnecessary Tests,"U.S. Attorney, Central District of California",
Waterbury Woman Charged in Scheme to Defraud Medicaid,Connecticut State Division of Criminal Justice,
Ohio Doctor Pleads Guilty to Unlawful Distribution of Opioids,Department of Justice,
New Haven Woman Charged with Medicaid Fraud,Connecticut State Division of Criminal Justice,
Guardian Elder Care Holdings and Related Entities Agree to Pay $15.4 Million to Resolve False Claims Act Allegations for Billing for Medically Unnecessary Rehabilitation Therapy Services,Department of Justice,
"Montgomery County ""Pill Mill"" Doctor Sentenced to Four Years in Prison for Illegal Opioid Distribution",U.S. Attorney,
Canton Doctor Settles Allegations of Illegal Patient Kickback Schemes,Office of Massachusetts Attorney General Maura Healey,
Chicago Woman Found Guilty for Role in $7 Million Scheme to Defraud Medicare,Department of Justice,
Former Caregiver Pleads Guilty to Obstructing Investigation Related to Violation of Disabled Resident's Civil Rights,Department of Justice,
Owner of Lewiston Counseling Agency Sentenced for Health Care Fraud,District of Maine,
Two Sedgwick County residents found guilty of Medicaid fraud,Kansas Attorney General,
Tenet Healthcare and Affiliated California Hospital to Pay $1.41 Million to Settle False Claims Act Allegations for Implanting Unnecessary Cardiac Monitors,Department of Justice,
Federal Jury Convicts Doctor on Fraud Charges for Approving Medically Unnecessary Tests,Northern District of Illinois,
"Raleigh County Woman Enters Guilty Plea to Health Care Fraud  Defendant fraudulently obtained over $300,000",Southern District of West Virginia,
Former Pharmacy Employee Admits Role in Multi-Million Dollar Illegal Kickback Scheme,District of New Jersey,
Patient Recruiter Sentenced to Prison for Role in More than $1 Million Illegal Kickback Conspiracy,Department of Justice,
Sacramento Man Pleads Guilty to Medicare Kickback Scheme,Eastern District of California,
Two Owners of Telemedicine Companies Charged for Roles in $56 Million Conspiracy to Defraud Medicare and Receive Illegal Kickbacks in Exchange for Orders of Orthotic Braces,Department of Justice,
Former Employee of Walter Reed National Military Medical Center Facing Federal Indictment in Maryland.,District of Maryland,
Returned Fugitive Sentenced to 2 1/2 Years in Federal Prison for Role in Medicare Fraud Scheme Featuring Bogus Physical Therapy Claims,Central District of California,
U. S. Settles False Claims Act Allegations Against Southeastern Retina Associates,Department of Justice,
Four Detroit-Area Physicians Found Guilty of Health Care Fraud Charges for Role in Over $150 Million Health Care Fraud Scheme,U.S. Department of Justice,
Doctor Sentenced to Probation and Home Confinement for Health Care Fraud,Western District of Pennsylvania,
"Greensburg Doctor Charged with Conspiring to Receive Kickbacks for Prescribing Fentanyl, and Then Causing Insurers to Pay for the Unlawful Prescriptions",Western District of Pennsylvania,
Marshall Co. Woman Charged with TennCare Fraud,Tennessee Department of Finance & Administration,
Pennsylvania Physician Sentenced for Drug Charge,Western District of Virginia,
Two Baltimore Men Convicted After Three-Week Federal Trial for Witness Retaliation and Tampering Resulting in the Murder of a Baltimore Woman. Both Defendants Face Mandatory Life Sentences in Federal Prison,District of Maryland,
Manhattan Doctor Sentenced To Nearly Five Years In Prison For Accepting Bribes And Kickbacks In Exchange For Prescribing Fentanyl Drug.,Southern District of New York,
HOPE Clinic Physician Pleads Guilty,Southern District of West Virginia,
Electronic Health Records Vendor to Pay $145 Million to Resolve Criminal and Civil Investigations. Practice Fusion Inc. Admits to Kickback Scheme Aimed at Increasing Opioid Prescriptions.,U.S. Department of Justice,
Waterbury Licensed Professional Counselor Pays $39K to Settle False Claims Allegations,District of Connecticut,
"Family Physician Pays $285,000 To Settle False Claims Act Allegations Of Billing Services At Inflated Rate",Eastern District of Tennessee,
"Columbus Pain Clinic and Owner Agree to Pay $650,000 to Resolve Allegations of Unnecessary Procedures",U.S. Department of Justice,
Lincoln Co. Woman Charged with TennCare Fraud,Tennessee Department of Finance and Administration,
San Diego's Arch Health Pays $2.9 Million to Resolve False Claims Act Allegations,U.S. Attorney,
Braking Point Recovery Center Owner Sentenced to 7 1/2 Years in Prison for Health Care Fraud and Drug Crimes,U.S. Attorney,
Former CEO of Insys Therapeutics Sentenced for Racketeering Scheme,U.S. Attorney,
Fourth Foundation Resolves Allegations that it Conspired with Pharmaceutical Companies to Pay Kickbacks to Medicare Patients,U.S. Attorney,
Medical Doctor Settles Civil Fraud Allegations in Adult Homes Investigation,U.S. Attorney,
"""Pill Mill"" Doctor Pleads Guilty to Opioid Distribution, Admits Signing Prescriptions for Dead and Jailed Patients",U.S. Attorney,
