Title,Date,Category,Link,Agency
"DOJ Settles False Claims Act Allegations With Seattle Physician, His Pain Clinics, and His Drug-testing Lab; Agrees To Pay $2.85 Million To Settle Allegations His Clinics Ordered Medically Unnecessary Tests","May 7, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doj-settles-false-claims-act-allegations-with-seattle-physician-his-pain-clinics-and-his-drug-testing-lab-agrees-to-pay-285-million-to-settle-allegations-his-clinics-ordered-medically-unnecessary-tests/,"U.S. Attorney's Office, Western District of Washington"
Texas man admits role in nearly $5 million health care fraud scheme,"May 7, 2020",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/texas-man-admits-role-in-nearly-5-million-health-care-fraud-scheme/,"U.S. Attorney's Office, Southern District of Texas"
Connecticut Announces Joint State-Federal COVID-19 Fraud Task Force,"May 6, 2020",COVID-19,https://oig.hhs.gov/fraud/enforcement/connecticut-announces-joint-state-federal-covid-19-fraud-task-force/,Office of the Attorney General of Connecticut
"Former Tribal Treasurer & Former Councilmember Sentenced to 42 and 30 Months for Embezzlement Scheme As Part of The Guardians Project, a Federal Law Enforcement Initiative in South Dakota","May 6, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-tribal-treasurer-former-councilmember-sentenced-to-42-and-30-months-for-embezzlement-scheme-as-part-of-the-guardians-project-a-federal-law-enforcement-initiative-in-south-dakota/,"U.S. Attorney's Office, District of South Dakota"
Rogers Physician Pleads Guilty To Distribution Of A Controlled Substance Without An Effective Prescription,"May 6, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/rogers-physician-pleads-guilty-to-distribution-of-a-controlled-substance-without-an-effective-prescription/,"U.S. Attorney's Office, Western District of Arkansas"
Connecticut Substance Abuse Treatment Provider Pays $295K to Settle Improper Billing Allegations,"May 5, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-substance-abuse-treatment-provider-pays-295k-to-settle-improper-billing-allegations/,"U.S. Attorney's Office, District of Connecticut"
"Lexington Foot and Ankle Center Agrees to Pay $750,000 to Resolve Allegations of Violations of the False Claims Act","May 4, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lexington-foot-and-ankle-center-agrees-to-pay-750000-to-resolve-allegations-of-violations-of-the-false-claims-act/,"U.S. Attorney's Office, Eastern District of Kentucky"
Eagle Woman Sentenced to 37 Months for Health Care Fraud,"May 29, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/eagle-woman-sentenced-to-37-months-for-health-care-fraud/,"U.S. Attorney's Office, District of Idaho"
Woman Sentenced to Prison for $500K Health Care Fraud Scheme,"May 29, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/woman-sentenced-to-prison-for-500k-health-care-fraud-scheme/,"U.S. Attorney's Office, Eastern District of Virginia"
Las Vegas Couple Indicted in $13 Million Fraud Upon North Carolina Medicaid Program and Scheme to Launder Proceeds Into Private Jet,"May 27, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/las-vegas-couple-indicted-in-13-million-fraud-upon-north-carolina-medicaid-program-and-scheme-to-launder-proceeds-into-private-jet/,"U.S. Attorney's Office, Eastern District of North Carolina"
Pinellas County Resident Arrested for Medicaid Provider Fraud,"May 27, 2020",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/pinellas-county-resident-arrested-for-medicaid-provider-fraud/,Florida Office of the Attorney General
Pennsylvania Man Sentenced to 37 Months in Prison and Over $3 Million in Restitution for Health Care Fraud Scheme,"May 22, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pennsylvania-man-sentenced-to-37-months-in-prison-and-over-3-million-in-restitution-for-health-care-fraud-scheme/,"U.S. Attorney's Office, Eastern District of Pennsylvania"
Encino Man Sentenced to 9 Years in Prison for Leading Conspiracy to Distribute Opioids via Sham Clinics and Corrupt Doctors,"May 21, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/encino-man-sentenced-to-9-years-in-prison-for-leading-conspiracy-to-distribute-opioids-via-sham-clinics-and-corrupt-doctors/,"U.S. Attorney's Office, Central District of California"
Mangum Pharmacist Sentenced to More Than Three Years in Federal Prison in Health Care Fraud Case; He Was Ordered to Pay Over $1 Million to Medicare and Medicaid,"May 21, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/mangum-pharmacist-sentenced-to-more-than-three-years-in-federal-prison-in-health-care-fraud-case-he-was-ordered-to-pay-over-1-million-to-medicare-and-medicaid/,"U.S. Attorney's Office, Western District of Oklahoma"
Caregiver Arrested for Neglect of an Elderly Adult,"May 21, 2020",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/caregiver-arrested-for-neglect-of-an-elderly-adult/,Florida Office of the Attorney General
Dominican National Sentenced for Identity Theft and Stealing MassHealth Benefits,"May 20, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dominican-national-sentenced-for-identity-theft-and-stealing-masshealth-benefits/,"U.S. Attorney's Office, District of Massachusetts"
"Premier Medical Associates Agree To Pay $750,000 To Resolve Claims Of False Billing","May 20, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/premier-medical-associates-agree-to-pay-750000-to-resolve-claims-of-false-billing/,"U.S. Attorney's Office, Middle District of Florida"
"Franklin, Tennessee-Based Rinova Settles Allegations Of Fraudulent Operations Of Former Pain MD Clinics Settlement More Than $480,000","May 20, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/franklin-tennessee-based-rinova-settles-allegations-of-fraudulent-operations-of-former-pain-md-clinics-settlement-more-than-480000/,"U.S. Attorney's Office, Middle District of Tennessee"
Toledo couple indicted for fraudulent medical care scheme,"May 20, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/toledo-couple-indicted-for-fraudulent-medical-care-scheme/,"U.S. Attorney's Office, Northern District of Ohio"
"United States Joins False Claims Act Lawsuit against William M. Kelly, M.D. Inc. and Omega Imaging Inc.","May 19, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-joins-false-claims-act-lawsuit-against-william-m-kelly-md-inc-and-omega-imaging-inc/,Department of Justice
Georgia Woman Arrested for Role in Scheme to Defraud Health Care Benefit Programs Related to Cancer Genetic Testing and COVID-19 Testing,"May 15, 2020",COVID-19,https://oig.hhs.gov/fraud/enforcement/georgia-woman-arrested-for-role-in-scheme-to-defraud-health-care-benefit-programs-related-to-cancer-genetic-testing-and-covid-19-testing/,Department of Justice
United States Attorney's Office Honors Law Enforcement Personnel for Exceptional Service,"May 15, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-attorneys-office-honors-law-enforcement-personnel-for-exceptional-service/,"U.S. Attorney's Office, District of Massachusetts"
ResMed Corp. to Pay the United States $37.5 Million for Allegedly Causing the Filing of False Claims Related to the Sale of Equipment for Sleep Apnea and Other Sleep-Related Disorders,"January 15, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/resmed-corp-to-pay-the-united-states-375-million-for-allegedly-causing-the-filing-of-false-claims-related-to-the-sale-of-equipment-for-sleep-apnea-and-other-sleep-related-disorders/,U.S. Attorney
TMJ & Orofacial Pain Treatment Centers of Wisconsin Agree to Pay $1 Million to Resolve False Claims Act Allegations,"January 15, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tmj-orofacial-pain-treatment-centers-of-wisconsin-agree-to-pay-1-million-to-resolve-false-claims-act-allegations/,U.S. Attorney
Texas Doctor Found Guilty for Role in $325 Million Health Care Fraud Scheme Involving False Diagnoses of Life-Long Diseases,"January 15, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-doctor-found-guilty-for-role-in-325-million-health-care-fraud-scheme-involving-false-diagnoses-of-life-long-diseases/,U.S. Department of Justice
Mid-State Physician Charged In $7 Million Healthcare Fraud Conspiracy,"January 14, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/mid-state-physician-charged-in-7-million-healthcare-fraud-conspiracy/,U.S. Attorney
Pittsburgh Resident Pleads Guilty to Conspiracy and Health Care Fraud,"January 14, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pittsburgh-resident-pleads-guilty-to-conspiracy-and-health-care-fraud/,U.S. Attorney
Metro Detroit Psychologist Sentenced to 51 Months for Health Care Fraud and Money Laundering,"January 13, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/metro-detroit-psychologist-sentenced-to-51-months-for-health-care-fraud-and-money-laundering/,U.S. Attorney
Doctor and Sales Rep Charged in $12 Million Fraud Scheme Targeting Tricare and Extensive Cover Up,"January 10, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-and-sales-rep-charged-in-12-million-fraud-scheme-targeting-tricare-and-extensive-cover-up/,U.S. Attorney
Pittsburgh-Area Lab Owner Pleads Guilty To Multiple Kickback Conspiracies In Connection With Almost $130 Million In Medicare Claims For Genetic Testing,"January 10, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pittsburgh-area-lab-owner-pleads-guilty-to-multiple-kickback-conspiracies-in-connection-with-almost-130-million-in-medicare-claims-for-genetic-testing/,U.S. Attorney
Two People in Madison County Charged with TennCare Fraud,"January 10, 2020",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/two-people-in-madison-county-charged-with-tenncare-fraud/,Tennessee Department of Finance and Administration
Montgomery County Doctor Sentenced to 12 Months in Prison for Unlawfully Distributing OxyCodone,"January 8, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/montgomery-county-doctor-sentenced-to-12-months-in-prison-for-unlawfully-distributing-oxycodone/,U.S. Attorney
Philadelphia-Based Personal Injury Law Firm Agrees to Resolve Allegations of Unpaid Medicare Debts,"January 8, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/philadelphia-based-personal-injury-law-firm-agrees-to-resolve-allegations-of-unpaid-medicare-debts/,U.S. Attorney
Philadelphia-Area Doctor Sentenced to 12 Months in Prison for Unlawfully Distributing Oxycodone,"January 8, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/philadelphia-area-doctor-sentenced-to-12-months-in-prison-for-unlawfully-distributing-oxycodone/,U.S. Department of Justice
Nessel Charges Owner of Saginaw Treatment Center with Fraud,"January 8, 2020",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/nessel-charges-owner-of-saginaw-treatment-center-with-fraud/,Michigan Attorney General
Former Los Angeles-Area Physician Sentenced to Two Years in Federal Prison for Defrauding Medicare and Illegally Prescribing Opioid Drugs,"January 6, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-los-angeles-area-physician-sentenced-to-two-years-in-federal-prison-for-defrauding-medicare-and-illegally-prescribing-opioid-drugs/,U.S. Department of Justice
"San Diego Eye Doctors Pay $950,000 to Settle Medicare Billing Fraud Allegations","January 2, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/san-diego-eye-doctors-pay-950000-to-settle-medicare-billing-fraud-allegations/,U.S. Attorney
Largest Independent Provider Of Intraoperative Neuromonitoring Services To Hospitals Agrees To Pay $1.9 Million To Settle Fraud Allegations,"December 30, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/largest-independent-provider-of-intraoperative-neuromonitoring-services-to-hospitals-agrees-to-pay-19-million-to-settle-fraud-allegations/,U.S. Attorney
"Centra Health Inc. and Blue Ridge Ear, Nose, Throat, and Plastic Surgery, Inc. Agree to Pay Nearly $10 Million to Settle False Claims Act Allegations","April 22, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/centra-health-inc-and-blue-ridge-ear-nose-throat-and-plastic-surgery-inc-agree-to-pay-nearly-10-million-to-settle-false-claims-act-allegations/,"U.S. Attorney's Office, Western District of Virginia"
"Psychiatrist Affiliated with Philadelphia and Lehigh Valley-Area Health Clinics Who Claimed to Have Seen Over 120 Patients per Day Agrees to Pay $91,109 to Resolve False Claims Act Liability","April 21, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/psychiatrist-affiliated-with-philadelphia-and-lehigh-valley-area-health-clinics-who-claimed-to-have-seen-over-120-patients-per-day-agrees-to-pay-91109-to-resolve-false-claims-act-liability/,"U.S. Attorney's Office, Eastern District of Pennsylvania"
Tech company pays $1.7 million in restitution for defrauding hospital electronic records programs,"April 21, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tech-company-pays-17-million-in-restitution-for-defrauding-hospital-electronic-records-programs/,"U.S. Attorney's Office, Southern District of Ohio"
"Maryland Cardiologist and Related Practices to Pay the United States $750,000 for Alleged Kickbacks","April 17, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/maryland-cardiologist-and-related-practices-to-pay-the-united-states-750000-for-alleged-kickbacks/,Department of Justice
"North Country Man Sentenced for Health Care Fraud, Paying Kickbacks","April 17, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-country-man-sentenced-for-health-care-fraud-paying-kickbacks/,"U.S. Attorney's Office, Northern District of New York"
"Dominican National Sentenced for Identity Theft and Stealing MassHealth Benefits, Defendant collected unemployment benefits in the identity of a United States citizen","April 16, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dominican-national-sentenced-for-identity-theft-and-stealing-masshealth-benefits-defendant-collected-unemployment-benefits-in-the-identity-of-a-united-states-citizen/,"U.S. Attorney's Office, District of Massachusetts"
Operator of durable medical equipment company charged in multi-million-dollar telemedicine kickback scheme,"April 16, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/operator-of-durable-medical-equipment-company-charged-in-multi-million-dollar-telemedicine-kickback-scheme/,"U.S. Attorney's Office, Southern District of Georgia"
"Baltimore Internist to Pay $436,000 to the United States to Resolve False Claims Act Allegations Relating to Medically Unnecessary Procedures","April 15, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/baltimore-internist-to-pay-436000-to-the-united-states-to-resolve-false-claims-act-allegations-relating-to-medically-unnecessary-procedures/,"U.S. Attorney's Office, District of Maryland"
"Florida-Based Laboratory, Pain Clinic, and Two Former Executives Agree to Pay $41 Million to Resolve Allegations of Unnecessary Drug Testing","April 15, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-based-laboratory-pain-clinic-and-two-former-executives-agree-to-pay-41-million-to-resolve-allegations-of-unnecessary-drug-testing/,"U.S. Attorney's Office, Eastern District of Pennsylvania"
Nursing Home Chain Saber Healthcare Agrees to Pay $10 Million to Settle False Claims Act Allegations,"April 14, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nursing-home-chain-saber-healthcare-agrees-to-pay-10-million-to-settle-false-claims-act-allegations/,Department of Justice
U.S. Attorney Nicholas Trutanich And Attorney General Aaron Ford Form Nevada COVID-19 Task Force,"April 13, 2020",COVID-19,https://oig.hhs.gov/fraud/enforcement/us-attorney-nicholas-trutanich-and-attorney-general-aaron-ford-form-nevada-covid-19-task-force/,"U.S. Attorney's Office, District of Nevada"
Maury Regional Medical Center To Pay More Than $1.7 Million To Settle False Claims Act Allegations,"April 13, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/maury-regional-medical-center-to-pay-more-than-17-million-to-settle-false-claims-act-allegations/,"U.S. Attorney's Office, Middle District of Tennessee"
State's New Medicaid Fraud Unit Prosecutes First Case,"April 13, 2020",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/states-new-medicaid-fraud-unit-prosecutes-first-case/,North Dakota Attorney General's Office
Contract Rehab Provider to Pay $4 Million to Resolve False Claims Act Allegations Relating to the Provision of Medically Unnecessary Rehabilitation Therapy Services,"April 10, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/contract-rehab-provider-to-pay-4-million-to-resolve-false-claims-act-allegations-relating-to-the-provision-of-medically-unnecessary-rehabilitation-therapy-services/,Department of Justice
New Jersey Chiropractor Agrees to Pay $2 Million to Resolve Allegations of Unnecessary Knee Injections and Knee Braces and Related Kickbacks,"April 6, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-jersey-chiropractor-agrees-to-pay-2-million-to-resolve-allegations-of-unnecessary-knee-injections-and-knee-braces-and-related-kickbacks/,Department of Justice
Wisconsin Physician Agrees to Pay Financial Penalties to Resolve Allegations That He Prescribed Opioids Illegally and Violated False Claims Act,"April 6, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/wisconsin-physician-agrees-to-pay-financial-penalties-to-resolve-allegations-that-he-prescribed-opioids-illegally-and-violated-false-claims-act/,"U.S. Attorney's Office, Eastern District of Wisconsin"
Doctor Pleads Guilty to Opioid Conspiracy and Health Care Fraud,"May 4, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-pleads-guilty-to-opioid-conspiracy-and-health-care-fraud/,"U.S. Attorney's Office, Eastern District of Virginia"
Pasco County Resident Arrested for Identity Theft and Exploitation of an Elderly Person or Disabled Adult,"May 4, 2020",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/pasco-county-resident-arrested-for-identity-theft-and-exploitation-of-an-elderly-person-or-disabled-adult/,Florida Office of the Attorney General
Milwaukee Pain Management Clinic and Physician Agree to Pay At Least $1.35 Million to Resolve Allegations They Violated the False Claims Act and Anti-Kickback Statute,"May 1, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/milwaukee-pain-management-clinic-and-physician-agree-to-pay-at-least-135-million-to-resolve-allegations-they-violated-the-false-claims-act-and-anti-kickback-statute/,"U.S. Attorney's Office, Eastern District of Wisconsin"
Owner Of Treatment Facility Pleads Guilty To Health Care Fraud,"May 1, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-treatment-facility-pleads-guilty-to-health-care-fraud/,"U.S. Attorney's Office, Middle District of Florida"
Owensboro Doctor Faces Federal Civil False Claims Allegations,"April 30, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owensboro-doctor-faces-federal-civil-false-claims-allegations/,"U.S. Attorney's Office, Western District of Kentucky"
"Medical Companies Agree to Pay Florida Medicaid More Than $500,000 to Settle False Claim Act Allegations","April 30, 2020",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/medical-companies-agree-to-pay-florida-medicaid-more-than-500000-to-settle-false-claim-act-allegations/,Florida Office of the Attorney General
Attorney General Josh Stein Announces $8.8 Million Medicaid Fraud Settlement with Dunn Physician,"April 29, 2020",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-josh-stein-announces-88-million-medicaid-fraud-settlement-with-dunn-physician/,North Carolina Department of Justice
"Attorney Agrees to Plead Guilty to a String of Crimes, Including Paying Bribes to Two Federal Law Enforcement Officials","April 28, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-agrees-to-plead-guilty-to-a-string-of-crimes-including-paying-bribes-to-two-federal-law-enforcement-officials/,"U.S. Attorney's Office, Central District of California"
Macomb County Doctor Charged In Health Care Fraud Scheme,"April 28, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/macomb-county-doctor-charged-in-health-care-fraud-scheme/,"U.S. Attorney's Office, Eastern District of Michigan"
Testing Laboratory Agrees to Pay Up to $43 Million to Resolve Allegations of Medically Unnecessary Tests,"April 27, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/testing-laboratory-agrees-to-pay-up-to-43-million-to-resolve-allegations-of-medically-unnecessary-tests/,Department of Justice
Harvard University Agrees to Pay Over $1.3 Million to Resolve Allegations of Overcharging NIH Grants,"April 27, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/harvard-university-agrees-to-pay-over-13-million-to-resolve-allegations-of-overcharging-nih-grants/,"U.S. Attorney's Office, District of Massachusetts"
"Dominican National Sentenced for Health Care Fraud, Misuse of a Social Security Number, ID Theft","April 27, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dominican-national-sentenced-for-health-care-fraud-misuse-of-a-social-security-number-id-theft/,"U.S. Attorney's Office, District of Rhode Island"
"Surgeon Agrees to Pay $1.75 Million to Resolve Allegations that He Accepted Kickbacks fromSpineFrontier, Sixth Doctor Settles Claims Related to Sham Consulting Program","April 24, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/surgeon-agrees-to-pay-175-million-to-resolve-allegations-that-he-accepted-kickbacks-fromspinefrontier-sixth-doctor-settles-claims-related-to-sham-consulting-program/,"U.S. Attorney's Office, District of Massachusetts"
Florida Man Sentenced to Over 15 Months in Prison and $3.4 Million in Restitution for Health Care Fraud Scheme Involving Liberation Way Drug and Alcohol Rehabilitation Centers,"April 24, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-sentenced-to-over-15-months-in-prison-and-34-million-in-restitution-for-health-care-fraud-scheme-involving-liberation-way-drug-and-alcohol-rehabilitation-centers/,"U.S. Attorney's Office, Eastern District of Pennsylvania"
"Avon-based Home Health Company to Pay $450,000 to Resolve Allegations of False Medicaid Billing","April 24, 2020",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/avon-based-home-health-company-to-pay-450000-to-resolve-allegations-of-false-medicaid-billing/,Massachusetts Office of Attorney General
Ambulance Provider Agrees to Settle False Claims Act Allegations,"April 23, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ambulance-provider-agrees-to-settle-false-claims-act-allegations/,"U.S. Attorney's Office, Eastern District of Virginia"
Telemedicine company owner charged in $60 million fraud scheme; Defendant is 23rd charged in largest fraud operation ever prosecuted by Southern District of Georgia,"April 23, 2020",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/telemedicine-company-owner-charged-in-60-million-fraud-scheme-defendant-is-23rd-charged-in-largest-fraud-operation-ever-prosecuted-by-southern-district-of-georgia/,"U.S. Attorney's Office, Southern District of Georgia"
Attorney General Ford Announces Sentencing of Las Vegas Medicaid Health Care Providers,"December 9, 2019",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ford-announces-sentencing-of-las-vegas-medicaid-health-care-providers/,Nevada Attorney General
"Cambridge Internist Pays More Than $176,000 to the United States to Resolve False Claims Act Allegations that He Administered Medically Unnecessary Procedures","December 5, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/cambridge-internist-pays-more-than-176000-to-the-united-states-to-resolve-false-claims-act-allegations-that-he-administered-medically-unnecessary-procedures/,U.S. Attorney
Mandeville Nurse Pleads Guilty To Conspiracy to Alter or Falsify Records In A Federal Investigation,"December 5, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/mandeville-nurse-pleads-guilty-to-conspiracy-to-alter-or-falsify-records-in-a-federal-investigation/,U.S. Attorney
Manhattan Doctor Convicted In Manhattan Federal Court Of Accepting Bribes And Kickbacks From A Pharmaceutical Company In Exchange For Prescribing Fentanyl Drug,"December 5, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/manhattan-doctor-convicted-in-manhattan-federal-court-of-accepting-bribes-and-kickbacks-from-a-pharmaceutical-company-in-exchange-for-prescribing-fentanyl-drug/,U.S. Attorney
"Suspended Pharmacist Charged with Health Care Fraud Conspiracy, Fraudulently Obtaining Controlled Substances and Misbranding Drugs","December 4, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/suspended-pharmacist-charged-with-health-care-fraud-conspiracy-fraudulently-obtaining-controlled-substances-and-misbranding-drugs/,U.S. Attorney
"Second Pharmaceutical Company Admits to Price Fixing, Resolves Related False Claims Act Violations","December 3, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/second-pharmaceutical-company-admits-to-price-fixing-resolves-related-false-claims-act-violations/,U.S. Department of Justice
Peoria Woman Sentenced to 15 Months in Federal Prison for Healthcare Fraud,"December 2, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/peoria-woman-sentenced-to-15-months-in-federal-prison-for-healthcare-fraud/,U.S. Attorney
Former Tennessee Medical Doctor Pleads Guilty to Unlawfully Distributing Controlled Substances,"December 2, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-tennessee-medical-doctor-pleads-guilty-to-unlawfully-distributing-controlled-substances/,U.S. Department of Justice
Husband and Wife Sentenced to Prison for Health Care Fraud,"November 27, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/husband-and-wife-sentenced-to-prison-for-health-care-fraud/,U.S. Attorney
"Michigan Doctor And Two Co-Conspirators Plead Guilty to Fraud, Kickback Violations Involving UAW Health Care Fund","November 27, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/michigan-doctor-and-two-co-conspirators-plead-guilty-to-fraud-kickback-violations-involving-uaw-health-care-fund/,U.S. Attorney
Orange County Women Arrested for Aggravated Abuse of Mentally Disabled Adult,"November 27, 2019",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/orange-county-women-arrested-for-aggravated-abuse-of-mentally-disabled-adult/,Florida Attorney General
APRN Who Received Kickbacks from Insys Therapeutics for Prescribing Fentanyl Spray is Sentenced,"November 26, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/aprn-who-received-kickbacks-from-insys-therapeutics-for-prescribing-fentanyl-spray-is-sentenced/,U.S. Attorney
Pittsburgh-area Lab Owner Charged with Paying Kickbacks in Connection with Almost $130 Million in Medicare Claims for Genetic Testing,"November 26, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pittsburgh-area-lab-owner-charged-with-paying-kickbacks-in-connection-with-almost-130-million-in-medicare-claims-for-genetic-testing/,U.S. Attorney
"Texas Orthopedic Surgeon to Pay $300,000 to Settle False Claims Act Allegations","November 26, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-orthopedic-surgeon-to-pay-300000-to-settle-false-claims-act-allegations/,U.S. Attorney
Laboratory to Pay $26.67 Million to Settle False Claims Act Allegations of Illegal Inducements to Referring Physicians,"November 26, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/laboratory-to-pay-2667-million-to-settle-false-claims-act-allegations-of-illegal-inducements-to-referring-physicians/,U.S. Department of Justice
Owner Of Empire Pharmacy In Hudson County Admits Role In Multi-Million Dollar Conspiracies To Commit Health Care Fraud And Pay Illegal Bribes To Doctor,"November 25, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-empire-pharmacy-in-hudson-county-admits-role-in-multi-million-dollar-conspiracies-to-commit-health-care-fraud-and-pay-illegal-bribes-to-doctor/,U.S. Attorney
Tennessee Emergency Medical Doctor Pleads Guilty to Unlawfully Distributing Controlled Substances,"November 25, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tennessee-emergency-medical-doctor-pleads-guilty-to-unlawfully-distributing-controlled-substances/,U.S. Department of Justice
Former Personal Care Aide Pleads Guilty to Health Care Fraud,"November 22, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-personal-care-aide-pleads-guilty-to-health-care-fraud/,U.S. Attorney
Former Personal Care Aide Pleads Guilty to Health Care Fraud,"November 22, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-personal-care-aide-pleads-guilty-to-health-care-fraud/,U.S. Attorney
Former Personal Care Aide Pleads Guilty to Health Care Fraud,"November 22, 2019",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-personal-care-aide-pleads-guilty-to-health-care-fraud/,U.S. Attorney
